                  Customer Name                          Card Number            Contact Number          Membership Point               Value          
                     quitnon                              ABC000001               0193903300                   14                    44.500000        
                     zhehen                               ABC000002               0193902211                    0                    1.020000         
                   wong pu jin                            ABC000003               01939032100                2290200                 9.670000         
                     quinton                              ABC000004               0193903300                    0                    25.000000        
                     Quinton                              ABC000005               0193903300                    0                    25.000000        
                     Quinton                              ABC000006               0193903300                    0                    30.000000        
                    quintonno                             ABC000007               0193903300                    0                    20.000000        
                       lol                                ABC000008               0193903300                    0                    25.000000        
                   Quinton New                            ABC000009               0193903300                    0                    25.000000        
                        q                                 ABC000010               0193903300                    0                    20.000000        
